Layer,Prior,Encoder,Iteration,Train_loss,Test_loss,Train_RE,Test_RE,Train_KL,Test_KL,Time,Weights,FID_score
conv,Normal2,NormalTrue,1,12.6203,13.0862,9.9877,10.4416,-2.6326,-2.6447,1.863636,521,84.4619005632122
conv,Normal2,NormalTrue,2,12.4498,12.752,9.7807,10.0857,-2.6691,-2.6663,1.8828980000000002,521,89.06816883530661
conv,Normal2,NormalTrue,3,13.1126,13.5343,10.4171,10.8129,-2.6954,-2.7214,1.8664579999999997,521,86.77812197766127
conv,Normal2,NormalTrue,4,12.5451,13.0379,9.8969,10.417,-2.6482,-2.6209,1.8645219999999998,521,100.65576868562806
conv,Normal2,NormalTrue,5,12.6199,12.9823,9.9607,10.3195,-2.6592,-2.6628,1.8648699999999998,521,89.28468521208674
conv,Normal2,RandomNetTrue,1,17.6861,18.3492,14.7854,15.4568,-2.9007,-2.8924,1.4477999999999998,434,128.09115940509932
conv,Normal2,RandomNetTrue,2,21.2475,22.1985,18.2733,19.2218,-2.9741,-2.9767,1.451324,434,117.69960605201658
conv,Normal2,RandomNetTrue,3,16.6635,17.3778,13.8116,14.5249,-2.8519,-2.8529,1.4518360000000001,434,124.92279546564117
conv,Normal2,RandomNetTrue,4,21.7083,22.7285,18.8504,19.8795,-2.8579,-2.849,1.4571200000000002,434,135.28910690303036
conv,Normal2,RandomNetTrue,5,18.7595,19.5275,15.9205,16.6908,-2.8389,-2.8367,1.455136,434,135.622383707757
conv,Normal2,RandomNetFalse,1,32.215,33.4551,25.751,26.9908,-6.464,-6.4643,1.396762,396,259.19094798502704
conv,Normal2,RandomNetFalse,2,36.6585,38.647,30.2484,32.2336,-6.4102,-6.4134,1.409082,396,207.1404521214224
conv,Normal2,RandomNetFalse,3,34.0302,35.9285,27.6099,29.5076,-6.4203,-6.4209,1.401064,396,270.40110663470944
conv,Normal2,RandomNetFalse,4,32.5076,34.2829,26.0915,27.8654,-6.4161,-6.4176,1.398026,396,234.0766629085059
conv,Normal2,RandomNetFalse,5,33.1778,34.5288,26.7364,28.0877,-6.4414,-6.4411,1.398294,396,242.86381256089257
conv,Normal2,RKSFalse,1,28.3812,29.9946,21.9551,23.5676,-6.4261,-6.427,1.2004899999999998,396,219.6118226528821
conv,Normal2,RKSFalse,2,28.7226,30.5415,22.2989,24.1158,-6.4237,-6.4257,1.206842,396,200.46321530432178
conv,Normal2,RKSFalse,3,28.5404,30.1822,22.1131,23.7553,-6.4273,-6.4269,1.2112379999999998,396,207.70577022685785
conv,Normal2,RKSFalse,4,30.9703,32.8764,24.5527,26.4551,-6.4176,-6.4213,1.2025399999999997,396,209.2350855602939
conv,Normal2,RKSFalse,5,32.1575,33.9937,25.7347,27.5732,-6.4228,-6.4205,1.1981860000000002,396,209.06469660114016
conv,Flow2,NormalTrue,1,-2.7184,-2.2845,10.1961,10.6199,12.9145,12.9044,2.032882,3689,48.391393344639425
conv,Flow2,NormalTrue,2,-1.6726,-1.237,11.3023,11.697,12.9749,12.934,2.041114,3689,58.9731686779765
conv,Flow2,NormalTrue,3,-2.9411,-2.4688,9.9791,10.4294,12.9201,12.8982,2.031364,3689,47.92919362224029
conv,Flow2,NormalTrue,4,-3.0418,-2.5158,9.8879,10.3312,12.9296,12.8469,2.04021,3689,38.09648917094097
conv,Flow2,NormalTrue,5,-2.6713,-2.2854,10.2476,10.6012,12.9189,12.8866,2.036054,3689,35.172727862463404
conv,Flow2,RandomNetTrue,1,2.0812,2.8025,15.0543,15.7486,12.9731,12.9462,1.632134,3602,40.570480016592825
conv,Flow2,RandomNetTrue,2,0.5952,1.2957,13.4965,14.1464,12.9013,12.8507,1.611748,3602,40.331668766035904
conv,Flow2,RandomNetTrue,3,1.8467,2.5455,14.6875,15.351,12.8408,12.8055,1.614672,3602,48.520681095601674
conv,Flow2,RandomNetTrue,4,2.8178,3.7166,15.7032,16.5563,12.8854,12.8397,1.6166800000000001,3602,37.21682256781125
conv,Flow2,RandomNetTrue,5,2.2494,2.9031,15.1479,15.7739,12.8985,12.8708,1.6285219999999998,3602,46.69481786507686
conv,Flow2,RandomNetFalse,1,18.451,20.0437,28.0379,29.6296,9.5869,9.586,1.5647699999999998,3564,211.47159243727015
conv,Flow2,RandomNetFalse,2,20.1481,22.0489,29.7344,31.6342,9.5863,9.5854,1.568768,3564,207.72350209599932
conv,Flow2,RandomNetFalse,3,25.0837,27.1561,34.6752,36.7451,9.5916,9.589,1.5615379999999999,3564,271.50085420099293
conv,Flow2,RandomNetFalse,4,19.7204,21.9057,29.305,31.4902,9.5846,9.5845,1.56134,3564,221.75374764579547
conv,Flow2,RandomNetFalse,5,12.8101,13.9024,22.384,23.4761,9.574,9.5738,1.561332,3564,191.88043358659405
conv,Flow2,RKSFalse,1,12.9742,14.4443,22.525,23.9876,9.5508,9.5433,1.3991600000000002,3564,149.44500653312414
conv,Flow2,RKSFalse,2,12.6446,14.2265,22.1916,23.7641,9.547,9.5376,1.381528,3564,136.90506693819557
